,Media Source,Date,Text,Tweets Ago,Compound,Negative,Neutral,Positive
54,BBC News (UK),Wed Nov 07 10:03:25 +0000 2018,"RT @BBCr4today: Stormy Daniels' lawyer, @MichaelAvenatti, says the only way to beat Donald Trump is to ""get down in the gutter and do battl…",55,0.0,1.0,0.0,0.0
55,BBC News (UK),Wed Nov 07 09:59:05 +0000 2018,Prince Charles in Africa: A royal visit to a land of princes and chiefs https://t.co/7XCHQLb8os,56,0.0,1.0,0.0,0.0
56,BBC News (UK),Wed Nov 07 09:54:44 +0000 2018,Brexit: Michael Gove wants to see backstop legal advice https://t.co/RIETAF8dCr,57,0.128,0.857,0.0,0.143
57,BBC News (UK),Wed Nov 07 09:54:05 +0000 2018,Flexible office space demand 'to soar over five years' https://t.co/HsxLEwbl9A,58,0.1027,0.702,0.132,0.167
58,BBC News (UK),Wed Nov 07 09:40:21 +0000 2018,Student gets marriage offers after rolling her eyes at Farage https://t.co/gcU3FqK0gE,59,0.0,1.0,0.0,0.0
59,BBC News (UK),Wed Nov 07 09:38:03 +0000 2018,Fifteen children found in refrigerated lorry in Newhaven https://t.co/arvc5R1GCg,60,0.0,1.0,0.0,0.0
60,BBC News (UK),Wed Nov 07 09:28:20 +0000 2018,News Daily: Blow to Trump in US mid-terms and cabinet 'wants Brexit deal this month' https://t.co/vBrtwPg802,61,0.0,1.0,0.0,0.0
61,BBC News (UK),Wed Nov 07 09:26:41 +0000 2018,Marks and Spencer sales continue to fall https://t.co/2ybvIcK0F5,62,0.0,1.0,0.0,0.0
62,BBC News (UK),Wed Nov 07 09:04:07 +0000 2018,Cameroon kidnap: Bamenda students freed https://t.co/4CPwX8FjpH,63,0.4019,0.649,0.0,0.351
63,BBC News (UK),Wed Nov 07 08:52:42 +0000 2018,"RT @BBCWorld: ⚡️ “US mid-terms: Story of #ElectionNight” 

https://t.co/pHPIXXq0uc",64,0.0,1.0,0.0,0.0
64,BBC News (UK),Wed Nov 07 08:42:59 +0000 2018,Central Line Tube strike: How will it affect you? https://t.co/VfxqGeJ2Jw,65,-0.128,0.857,0.143,0.0
65,BBC News (UK),Wed Nov 07 08:22:04 +0000 2018,RT @BBCStreeter: 2018 was billed as the year of the women ahead of the US mid term elections and there is now a record number of women in C…,66,0.0772,0.954,0.0,0.046
66,BBC News (UK),Wed Nov 07 08:13:30 +0000 2018,"RT @BBCWorld: US mid-terms update:

•  Democrats have control of House of Representatives
•  Republicans set to strengthen their grip on Se…",67,0.3182,0.892,0.0,0.108
67,BBC News (UK),Wed Nov 07 07:59:17 +0000 2018,Murder victim's family leave UK and say London 'too dangerous' https://t.co/aVnHmB276Z,68,-0.8402,0.471,0.529,0.0
68,BBC News (UK),Wed Nov 07 07:42:08 +0000 2018,Persimmon boss to leave after 'distraction' over pay https://t.co/aBDfMxRkqt,69,-0.1531,0.729,0.271,0.0
69,BBC News (UK),Wed Nov 07 07:29:33 +0000 2018,Mid-term election results: What it all means for Trump https://t.co/8fcxMcr3Ve,70,0.0,1.0,0.0,0.0
70,BBC News (UK),Wed Nov 07 07:23:10 +0000 2018,What is 2018's word of the year? https://t.co/WTTwFiyjd5,71,0.0,1.0,0.0,0.0
